datetime,hourly_site_load_in_watt,NOK_per_kWh,temp,windgust,windspeed,winddir,solarradiation,solarenergy,uvindex
2024-10-09 23,1560.93,0.48334,10.9,13.5,9.5,122,0,0,0
2024-10-10 00,1447.89,0.4791,11.3,14.3,13.5,119,0,0,0
2024-10-10 01,1256.85,0.47156,11.6,17,10.4,134,0,0,0
2024-10-10 02,1502.55,0.46637,11.9,17.1,13.2,158,0,0,0
2024-10-10 03,1608.29,0.44515,12,15.5,11.5,164,0,0,0
2024-10-10 04,1318.19,0.37734,11.3,23.5,15.2,191,0,0,0
2024-10-10 05,1501.23,0.35612,12,27.5,21.4,188,0,0,0
2024-10-10 06,2756.11,0.4593,11.8,22.1,19.3,295,0,0,0
2024-10-10 07,2997.79,0.49774,11.9,20.8,18.2,170,0,0,0
2024-10-10 08,3289.12,0.51331,12,23.7,15.7,157,0,0,0
2024-10-10 09,3408.13,0.52404,11.5,22.2,19.2,129,0,0,0
2024-10-10 10,3159.76,0.51637,11.9,26.9,10.4,107,16,0.1,0
2024-10-10 11,3404.76,0.49633,12,20.2,15.6,116,27,0.1,0
2024-10-10 12,3485.35,0.4481,12.4,16.6,11.7,99,102,0.4,1
2024-10-10 13,2731.81,0.37239,12.9,17.4,9.4,101,68,0.2,1
2024-10-10 14,2755.99,0.23466,12.8,16.9,10.2,120,81,0.3,1
2024-10-10 15,1214.51,0.33902,12.7,14,11.5,95,125,0.5,1
2024-10-10 16,1238.25,0.43843,13.3,14.3,5.7,122,161,0.6,2
2024-10-10 17,1513.61,0.43843,11.6,7.7,4,126,68,0.2,1
2024-10-10 18,1421.8,0.45081,11.7,15.6,11.8,291,26,0.1,0
2024-10-10 19,1135.66,0.46555,8,39,22.8,358,2,0,0
2024-10-10 20,1456.05,0.45564,7,41.5,21.4,357,0,0,0
2024-10-10 21,1317.05,0.44715,6.4,45,23.2,356,0,0,0
2024-10-10 22,1158.7,0.4297,6,44.6,22.3,359,0,0,0
2024-10-10 23,1412.03,0.38902,5.4,36.7,18.8,353,0,0,0
2024-10-11 00,1303.22,0.38477,5.2,35.9,18.9,353,0,0,0
2024-10-11 01,1062.75,0.40747,5.1,30.6,16.6,345,0,0,0
2024-10-11 02,1346.59,0.40759,5.1,30.4,16.8,338,0,0,0
